"","name","country"
"1","Suryakumar Yadav","
                        
                        IND
                    "
"2","Mohammad Rizwan","
                            
                            PAK
                        "
"3","Devon Conway","
                            
                            NZ
                        "
"4","Babar Azam","
                            
                            PAK
                        "
"5","Aiden Markram","
                            
                            SA
                        "
"6","Dawid Malan","
                            
                            ENG
                        "
"7","Glenn Phillips","
                            
                            NZ
                        "
"8","Rilee Rossouw","
                            
                            SA
                        "
"9","Aaron Finch","
                            
                            AUS
                        "
"10","Virat Kohli","
                            
                            IND
                        "
"11","Quinton de Kock","
                            
                            SA
                        "
"12","Pathum Nissanka","
                            
                            SL
                        "
"13","Muhammad Waseem","
                            
                            UAE
                        "
"14","Jos Buttler","
                            
                            ENG
                        "
"15","Rohit Sharma","
                            
                            IND
                        "
"16","Reeza Hendricks","
                            
                            SA
                        "
"17","Rahmanullah Gurbaz","
                            
                            AFG
                        "
"18","Martin Guptill","
                            
                            NZ
                        "
"19","Brandon King","
                            
                            WI
                        "
"20","Nicholas Pooran","
                            
                            WI
                        "
"21","Finn Allen","
                            
                            NZ
                        "
"22","Lokesh Rahul","
                            
                            IND
                        "
"23","Rassie van der Dussen","
                            
                            SA
                        "
"24","George Munsey","
                            
                            SCO
                        "
"25","Hazratullah","
                            
                            AFG
                        "
"26","Richard Berrington","
                            
                            SCO
                        "
"27","Paul Stirling","
                            
                            IRE
                        "
"28","David Miller","
                            
                            SA
                        "
"29","Kariyawasa Asalanka","
                            
                            SL
                        "
"30","Bhanuka Rajapaksa","
                            
                            SL
                        "
"31","Mitchell Marsh","
                            
                            AUS
                        "
"32","Najibullah Zadran","
                            
                            AFG
                        "
"33","Ben Duckett","
                            
                            ENG
                        "
"34","Ishan Kishan","
                            
                            IND
                        "
"35","Tony Ura","
                            
                            PNG
                        "
"36","Litton Das","
                            
                            BAN
                        "
"37","David Warner","
                            
                            AUS
                        "
"38","Moeen Ali","
                            
                            ENG
                        "
"39","Marcus Stoinis","
                            
                            AUS
                        "
"40","Glenn Maxwell","
                            
                            AUS
                        "
"41","Max O'Dowd","
                            
                            NED
                        "
"42","Ibrahim Zadran","
                            
                            AFG
                        "
"43","Afif Hossain","
                            
                            BAN
                        "
"44","Kusal Mendis","
                            
                            SL
                        "
"45","Shreyas Iyer","
                            
                            IND
                        "
"46","Jason Roy","
                            
                            ENG
                        "
"47","Kane Williamson","
                            
                            NZ
                        "
"48","Daryl Mitchell","
                            
                            NZ
                        "
"49","Navneet Dhaliwal","
                            
                            CAN
                        "
"50","Andrew Balbirnie","
                            
                            IRE
                        "
"51","Dasun Shanaka","
                            
                            SL
                        "
"52","Wesley Madhevere","
                            
                            ZIM
                        "
"53","Kushal Bhurtel","
                            
                            NEP
                        "
"54","Mohammad Nabi","
                            
                            AFG
                        "
"55","Rovman Powell","
                            
                            WI
                        "
"56","Iftikhar Ahmed","
                            
                            PAK
                        "
"57","Jonny Bairstow","
                            
                            ENG
                        "
"58","Dipendra Airee","
                            
                            NEP
                        "
"59","Heinrich Klaasen","
                            
                            SA
                        "
"60","Shakib Al Hasan","
                            
                            BAN
                        "
"61","Mahmudullah","
                            
                            BAN
                        "
"62","Gerhard Erasmus","
                            
                            NAM
                        "
"63","Rayyan Pathan","
                            
                            CAN
                        "
"64","Matthew Wade","
                            
                            AUS
                        "
"65","Mohammad Naim","
                            
                            BAN
                        "
"66","Jatinder Singh","
                            
                            OMA
                        "
"67","Zeeshan Maqsood","
                            
                            OMA
                        "
"68","Harry Brook","
                            
                            ENG
                        "
"69","Hardik Pandya","
                            
                            IND
                        "
"70","Lorcan Tucker","
                            
                            IRE
                        "
"71","Evin Lewis","
                            
                            WI
                        "
"72","Alex Hales","
                            
                            ENG
                        "
"73","Rishabh Pant","
                            
                            IND
                        "
"74","Kyle Mayers","
                            
                            WI
                        "
"75","Shan Masood","
                            
                            PAK
                        "
"76","Craig Williams","
                            
                            NAM
                        "
"77","Liam Livingstone","
                            
                            ENG
                        "
"78","Sarfaraz Ali","
                            
                            BRN
                        "
"79","Fakhar Zaman","
                            
                            PAK
                        "
"80","Ben Cooper","
                            
                            NED
                        "
"81","Sean Williams","
                            
                            ZIM
                        "
"82","Calum MacLeod","
                            
                            SCO
                        "
"83","J.J. Smit","
                            
                            NAM
                        "
"84","Usman Ghani","
                            
                            AFG
                        "
"85","Matthew Cross","
                            
                            SCO
                        "
"86","Sikandar Raza","
                            
                            ZIM
                        "
"87","Dhananjaya de Silva","
                            
                            SL
                        "
"88","Kamran Khan","
                            
                            QAT
                        "
"89","Sese Bau","
                            
                            PNG
                        "
"90","Stephan Baard","
                            
                            NAM
                        "
"91","Chirag Suri","
                            
                            UAE
                        "
"92","Jimmy Neesham","
                            
                            NZ
                        "
"93","Vriitya Aravind","
                            
                            UAE
                        "
"94","Craig Ervine","
                            
                            ZIM
                        "
"95","Harry Tector","
                            
                            IRE
                        "
"96","Ryan Burl","
                            
                            ZIM
                        "
"97","Muhammad Usman","
                            
                            UAE
                        "
"98","Shimron Hetmyer","
                            
                            WI
                        "
"99","Norman Vanua","
                            
                            PNG
                        "
"100","Bas de Leede","
                            
                            NED
                        "
